CUR,EUR,GBP,CHF,USD,AUD,CAD,HKD,INR,JPY,SAR,SGD,ZAR,SEK,AED
EUR, 1.0000, 0.7332, 1.0478, 1.0916, 1.3917, 1.3587, 8.4391, 68.2806, 129.8289, 4.0944, 1.4948, 12.9438, 9.2527, 3.9968
GBP, 1.3639, 1.0000, 1.4291, 1.4888, 1.8981, 1.8532, 11.5104, 93.1306, 177.0787, 5.5845, 2.0388, 17.6545, 12.6201, 5.4514
CHF, 0.9544, 0.6997, 1.0000, 1.0418, 1.3282, 1.2968, 8.0544, 65.1680, 123.9104, 3.9077, 1.4267, 12.3537, 8.8309, 3.8146
USD, 0.9161, 0.6717, 0.9599, 1.0000, 1.2749, 1.2448, 7.7312, 62.5531, 118.9385, 3.7509, 1.3694, 11.8580, 8.4766, 3.6616
AUD, 0.7185, 0.5268, 0.7529, 0.7844, 1.0000, 0.9764, 6.0641, 49.0644, 93.2911, 2.9421, 1.0741, 9.3010, 6.6487, 2.8720
CAD, 0.7360, 0.5396, 0.7711, 0.8033, 1.0242, 1.0000, 6.2109, 50.2527, 95.5505, 3.0134, 1.1001, 9.5263, 6.8097, 2.9416
HKD, 0.1185, 0.0869, 0.1242, 0.1293, 0.1649, 0.1610, 1.0000, 8.0910, 15.3842, 0.4852, 0.1771, 1.5338, 1.0964, 0.4736
INR, 0.0146, 0.0107, 0.0153, 0.0160, 0.0204, 0.0199, 0.1236, 1.0000, 1.9014, 0.0600, 0.0219, 0.1896, 0.1355, 0.0585
JPY, 0.0077, 0.0056, 0.0081, 0.0084, 0.0107, 0.0105, 0.0650, 0.5259, 1.0000, 0.0315, 0.0115, 0.0997, 0.0713, 0.0308
SAR, 0.2442, 0.1791, 0.2559, 0.2666, 0.3399, 0.3319, 2.0611, 16.6766, 31.7089, 1.0000, 0.3651, 3.1613, 2.2598, 0.9762
SGD, 0.6690, 0.4905, 0.7009, 0.7302, 0.9310, 0.9090, 5.6456, 45.6786, 86.8534, 2.7391, 1.0000, 8.6592, 6.1899, 2.6738
ZAR, 0.0773, 0.0566, 0.0809, 0.0843, 0.1075, 0.1050, 0.6520, 5.2752, 10.0302, 0.3163, 0.1155, 1.0000, 0.7148, 0.3088
SEK, 0.1081, 0.0792, 0.1132, 0.1180, 0.1504, 0.1468, 0.9121, 7.3795, 14.0315, 0.4425, 0.1616, 1.3989, 1.0000, 0.4320
AED, 0.2502, 0.1834, 0.2622, 0.2731, 0.3482, 0.3400, 2.1114, 17.0837, 32.4830, 1.0244, 0.3740, 3.2385, 2.3150, 1.0000 
